"","Genus_spp","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"21","Carex_aurea",0,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0.5,0,8,2.5,0,1.5,0,4,0,0,0,3.5,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,29
"22","Carex_breweri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"23","Castilleja_miniata",0,0.00221048532072077,0.00141471060526129,0.0127323954473516,0.0127323954473516,0.00884194128288308,0.00141471060526129,0,0.000795774715459477,0,7,0,0.5,0.00392975168128137,0.0198943678864869,0,0.00649612012619981,0,0,0,0.000795774715459477,0.5,2.5,0.0795774715459477,0,0.0198943678864869,0.0127323954473516,0.00649612012619981,0,0.0353677651315323,1.5,5.5,1,0,4.5,0.00497359197162173,0.141471060526129,0.0198943678864869,0,3,26.3916655683555
"24","Castilleja_rupicola",0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869
"25","Chamaecyparis_nootkatensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Chamaenerion_angustifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
"27","Chamaenerion_latifolium",3,1.5,3.5,0,0.00141471060526129,4,0,0.000353677651315323,0,0,3.5,0,0,8,6.5,0,0.00649612012619981,0.0795774715459477,0.00141471060526129,0,0.00649612012619981,8,1,3.5,0,0.00141471060526129,0,0,0,0,0,0.0127323954473516,7.5,0,0.0353677651315323,5,0,0,0,0,55.1452676818443
"28","Cirsium_edule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0.000509295817894065,0,0,0,0,0,0.0154521765859664
"29","Crepis_nana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9.5
"30","Cryptogramma_acrostichoides",0,0,0.0795774715459477,0.00221048532072077,0,0,0,0.000795774715459477,0,0,0.5,0,0,0.00318309886183791,0,0,0,0,0,0,5,0.0127323954473516,0.00318309886183791,3,0,0,0,0.000982437920320342,0,0.318309886183791,0,0.000795774715459477,3,0,0,0,0,0,0,0.5,12.4217704235727
"31","Dasiphora_fruticosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"32","Dryas_drummondii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0.000509295817894065
"33","Erigeron_nivalis",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"34","Erythranthe_guttata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129
"35","Erythranthe_lewisii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.141471060526129,0,0,0,0,0,0,0,1.14147106052613
"36","Erythronium_grandiflorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0,0,0,0,0.00221048532072077
"37","Fragaria_vesca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188349045079166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188349045079166
"38","Fragaria_virginiana",0,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791
"39","Heuchera_glabra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129
"40","Hieracium_triste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0.00124339799290543,0,0,0,0,0,0,0,0.00175269381079949
"41","Juncus_",0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519894367886487
"42","Juncus_arcticus",0,0,0,0,0,0,0,0.000795774715459477,0.5,0,6.5,0.00141471060526129,0.5,0,0,0,0,0,0,0,0,2,0,0,0.00318309886183791,0,0,0,0,0,0,7.5,4,0,0,0.318309886183791,0,0.00392975168128137,0,0,21.3276332220476
"43","Juniperus_communis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Leptarrhena_pyrolifolia",0,0,0,0,0.00110141829129339,0,0,0,0,0,5.5,0,5.5,0.0198943678864869,0,0,0,0.00110141829129339,0,0,0.000353677651315323,3.5,0.000795774715459477,0.5,0.00318309886183791,0,0.00318309886183791,0,0.00263066021639496,0,0,8,1.5,0,3,0,0,0,0,0.0795774715459477,27.6118209863219
"45","Lesquerella _alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"46","Luetkea_pectinata",0,0.0353677651315323,0,0.00240688004675834,0,0,0,4,0,0,0.00497359197162173,0,0,0,0,0.00141471060526129,0,8,7,2,0,0,0,0.0509295817894065,2,0,0,0,0,0,0,0,2,0.00318309886183791,0,0,0,0,7,2,34.0982756284064
