Type	Family	EnglishName	Genus	Species	CE07	CN01	WP58	WP55	WP37	WP29	WP3	WP34	WP33	WP5	WP30	WP67	CE03/WP15	CE04	WP20	WP1	WP4	WP69	WP73	WP40	WP43	WP60	WP31	CE05	CE02	WP59	WP42	WP27	WP7	WP57	WP56	WP39	CE09	CE1	WP10	CE10	WP12	WP65	CE01	CE08
forb	Asteraceae	Snowfleabanedaisy	Erigeron	nivalis				5m	23m																																			
forb	Asteraceae	Snowfleabanedaisy	Erigeron	nivalis																						30m																		
forb	Asteraceae	subalpinefleabane	Erigeron	glacialis																			4m																					
forb	Phrymaceae	commonyellowmonkeyflower	Erythranthe	guttata											"4,4,4,4"																													
forb	Phrymaceae	greatpurplemonkeyflower	Erythranthe	lewisii	10m																																							
forb	Phrymaceae	greatpurplemonkeyflower	Erythranthe	lewisii											1.5m																													
fern	Aspleniaceae	greenspleenwortfern	Asplenium	viride													5m																											
gramminoid	Poaceae	alpinefescue	Festuca	brachyphylla																					10m																			
gramminoid	Poaceae	rockymountainfescue	Festuca	saximontana																					10m																			
gramminoid	Juncaceae	juncus1-flowersized	Juncus																"2,0,0,0"																									
gramminoid	Juncaceae	juncus2-flowertopdrumondii	Juncus																"1,1,1,0"	"3,5,2,0"																								
forb	Ericaceae	alpine-wintergreen	Gaultheria	humifusa													15m																											
forb	Asteaceae	Buterbun	Hetaciles	Frigidus																																"4,4,4,4"								
forb	Asteraceae	woollyhawksweed	Hieracium	triste																																							"1,2,1,2"	
forb	Asteraceae	White-floweredhawkweed	Hieracium	albiflorum			1m																																					
forb	Asteraceae	Dwarfhawkweed	Hieracium	humile			1m																																					
forb	Asteraceae	woollyhawksweed	Hieracium	triste			"1,0,0,0"																																					
forb	Asteraceae		Hieracium																17m																									
forb	Asteraceae		Hieracium																								32m																	
forb	Asteraceae	woollyhawksweed	Hieracium	triste														5m																										
gramminoid	Juncaceae	rush	Juncus	arcticus																																								"0,0,3,1"
gramminoid	Juncaceae	rush	Juncus	drummondii														"2,2,2,2"																										
gramminoid	Juncaceae	rush	Juncus	drummondii																																							2m	
gramminoid	Juncaceae	rush	Juncus	drummondii																												3m		12m	"0,2,4,0"									
gramminoid	Juncaceae	rush	Juncus	mertensianus											"2,2,0,0"																													
gramminoid	Juncaceae	rush	Juncus	mertensianus																																	"0,1,0,2"		3m					
gramminoid	Juncaceae	rush	Juncus	mertensianus																	3m																							
gramminoid	Juncaceae	rush	Juncus	spp1	1m																																							
gramminoid	Juncaceae	rush	Juncus	spp1				7m																																				
gramminoid	Juncaceae	rush	Juncus	spp2																												5m		"3,0,0,1"	"0,1,0,0"									
gramminoid	Juncaceae	rush	Juncus	triglumus																	"0,0,0,2"																							
gramminoid	Juncaceae	Hedgehogrush	Juncus																																					10m				
gramminoid	Juncaceae	rush spp2 WP58	Juncus				7m																																					
floweringplant	Ericaceae	alpinelaurel	Kalmia	microphylla													"4,0,0,4"																											
		Lichen	Lichen														"1,2,0,1"																											
		Lichen	Lichen																			"4,4,4,4"	"3,4,4,2"	"4,3,2,2"																				
		Lichen	Lichen																																								"3,2,2,1"	
forb	Fabaceae	lupine	Lupinus	spp2(nohair)																													1.5m											
forb	Fabaceae	lupine	Lupinus	furry							"0,2,2,1"	"4,4,3,4"	"1,0,1"	5m																														
gramminoid	Juncaceae	rush	Luzula																																		10m							
gramminoid	Juncaceae	rush	Luzula	parviflora																													4m											
gramminoid	Juncaceae	rush spp1	Luzula															"1,0,0,0"																										
gramminoid	Juncaceae	rush spp1	Luzula																								32m																	
gramminoid	Juncaceae	Piper'swood-rush	Luzula	piperi																		"0,4,4,3"	6m	"1,1,0,0"																				
gramminoid	Juncaceae	Piper'swood-rush	Luzula	piperi																"1,1,0,0"																								
floweringplant	Lycopodiaceae	alpineclubmoss	Diphasiastrum	spp																													19m											
liverwort	liverwort	liverwort	Marchantia												"1,3,3,1"																													
liverwort	liverwort	liverwort	Marchantia																																				"4,1,0,2"					
forb	Saxifragaceae		Micranthes	ferruginea																				7m																				
forb	Saxifragaceae	Snowsaxifrage	Micranthes	nivalis																					2m																			
forb	Saxifragaceae	Snowsaxifrage	Micranthes	nivalis																														12m										
forb	Phrymaceae	greatpurplemonkeyflower	Mimulus	lewisii															25m																									
forb	Phrymaceae	Tiling'smonkeyflower	Mimulus	tilingii															6m																									
forb	Phrymaceae	Tiling'smonkeyflower	Mimulus	tilingii																																				12m				
forb	Caryophyllaceae	Arcticsandwort	Minuartia	rubella															7m																									
forb	Caryophyllaceae	Arcticsandwort	Minuartia	rubella																						"0,0,2,3"																		
liverwort	liverwort	liverwort	Marchantia																							"1,3,4,4"																		
evergreen	Ericaceae	one-sided-wintergreen	Orthilia	secunda					"0,0,0,1"																																			
Lichen	Lichen	Lichen									"3,2,1,3"	5m	"0,2,2,1"	"4,4,4,4"																														
forb	Polygonaceae	Alpinesorrel	Oxyria	digyna														30m																										
forb	Polygonaceae	Alpinesorrel	Oxyria	digyna																								8m																
forb	Polygonaceae	Alpinesorrel	Oxyria	digyna																																	2m							
forb	Asteraceae	Goldengroundsel	Packera	aurea			11m																																					
forb	Celastraceae	fringedgrassofParnassus	Parnassia	fimbriata													2m																											
forb	Celastraceae	fringedgrassofParnassus	Parnassia	fimbriata																						"1,4,3,2"																		
forb	Celastraceae	fringedgrassofParnassus	Parnassia	fimbriata																																"1,2,2,2"	"3,1,0,1"		"1,0,1,2"					
forb	Orobanchaceae	Bractedlousewort	Pedicularis	bracteosa																												"0,1,1,0"		3m										
forb	Orobanchaceae	Leafylousewort	Pedicularis	racemosa																														6m										
forb	Plantaginaceae	beardtongues	Penstemon	?			"0,5,0,0"																																					
forb	Plantaginaceae	beardtongues	Penstemon	procerus																																	"0,0,0,1"							
forb	Asteraceae	coltsfoot	Petasites	frigidus																					30m																			
